Title,Also Called,Condensed Summary,Physician
Mercury,,"Mercury is an element that is found in air, water and soil. It has several forms.",Medical Toxicology
Mesothelioma,Malignant mesothelioma,"The tissue that lines your lungs, stomach, heart, and other organs is called mesothelium. Mesothelioma, also known as malignant mesothelioma, is cancer of that tissue.",Pulmonology
Metabolic Disorders,,"Metabolism is the process your body uses to get or make energy from the food you eat. Food is made up of proteins, carbohydrates, and fats.",Medical Genetics
Metabolic Syndrome,"Insulin resistance syndrome, Metabolic syndrome X","What is metabolic syndrome? Metabolic syndrome is the name for a group of risk factors for heart disease, diabetes, and other health problems.","Hematology, Cardiology"
Methamphetamine,"Chalk, Crystal, Glass, Ice, Meth, Speed, Tina",Methamphetamine - meth for short - is a very addictive stimulant drug. It is a powder that can be made into a pill or a shiny rock (called a crystal).,Addiction Medicine
Migraine,,What are migraines? Migraines are a recurring type of headache.,Neurology
Mild Cognitive Impairment,MCI,"Some forgetfulness can be a normal part of aging. However, some people have more memory problems than other people their age.",Neurology
Miscarriage,Spontaneous abortion,"A miscarriage is an unexpected loss of pregnancy before the 20th week of pregnancy. Most miscarriages happen very early in the pregnancy, often before a woman even knows she is pregnant.",Gynecology
Mitochondrial Diseases,,"Metabolism is the process your body uses to make energy from the food you eat. Food is made up of proteins, carbohydrates, and fats.",Metabolic Medicine
Mitral Valve Prolapse,"Barlow's syndrome, Floppy valve syndrome, MVP",What is the mitral valve? The mitral valve is one of the four valves in your heart.,"Hematology, Cardiology"
Molds,Fungi,"Molds are fungi that can be found both outdoors and indoors. They grow best in warm, damp and humid conditions.",Medical Toxicology
Moles,Nevus,"Moles are growths on the skin. They happen when pigment cells in the skin, called melanocytes, grow in clusters.",Dermatology
Mood Disorders,,Most people feel sad or irritable from time to time. They may say they're in a bad mood.,Psychiatry
Mosquito Bites,,Mosquitoes are insects that live all over the world. There are thousands of different species of mosquitoes; about 200 of those live in the United States.,Dermatology
Motion Sickness,"Airsickness, Carsickness, Seasickness","Motion sickness is a common problem in people traveling by car, train, airplanes, and especially boats. Anyone can get it, but it is more common in children, pregnant women, and people taking certain medicines.",General Practice/Internal Medicine
Mouth Disorders,,Your mouth is one of the most important parts of your body. It has many different functions.,Otolaryngology
Movement Disorders,,"Movement disorders are neurologic conditions that cause problems with movement, such as: Increased movement that can be voluntary (intentional) or involuntary (unintended) Decreased or slow voluntary movement There are many different movement disorders. Some of the more common types include: Ataxia, the loss of muscle coordination Dystonia, in which involuntary contractions of your muscles cause twisting and repetitive movements.",Orthopedics
Mpox,Monkeypox,"What is mpox? Mpox, which used to be called monkeypox, is a rare disease caused by infection with the mpox virus.",Infectious Disease
MRI Scans,"Magnetic resonance imaging, NMR, Nuclear magnetic resonance","Magnetic resonance imaging (MRI) uses a large magnet and radio waves to look at organs and structures inside your body. Health care professionals use MRI scans to diagnose a variety of conditions, from torn ligaments to tumors.",Radiology
MRSA,Methicillin-resistant Staphylococcus aureus,"MRSA stands for methicillin-resistant Staphylococcus aureus. It causes a staph infection (pronounced ""staff infection"") that is resistant to several common antibiotics.",Infectious Disease
Multiple Myeloma,Plasma-cell myeloma,"Multiple myeloma is a cancer that begins in plasma cells, a type of white blood cell. These cells are part of your immune system, which helps protect the body from germs and other harmful substances.",Allergy and Immunology
Multiple Sclerosis,MS,"Multiple sclerosis (MS) is a nervous system disease that affects your brain and spinal cord. It damages the myelin sheath, the material that surrounds and protects your nerve cells.",Orthopedics
Mumps,,"Mumps is an illness caused by the mumps virus. It starts with: Fever Headache Muscle aches Tiredness Loss of appetite After that, the salivary glands under the ears or jaw become swollen and tender.",Infectious Disease
Muscle Cramps,Charley horse,"What are muscle cramps? Muscle cramps are sudden, involuntary contractions or spasms in one or more of your muscles.",Orthopedics
Muscle Disorders,Myopathy,Your muscles help you move and help your body work. Different types of muscles have different jobs.,Orthopedics
Muscular Dystrophy,MD,What is muscular dystrophy (MD)? Muscular dystrophy (MD) is a group of more than 30 genetic diseases.,Orthopedics
Myasthenia Gravis,,Myasthenia gravis is a disease that causes weakness in your voluntary muscles. These are the muscles that you control.,Neurology
Mycobacterial Infections,,Mycobacteria are a type of germ. There are many different kinds.,Infectious Disease
Myelodysplastic Syndromes,MDS,"Your bone marrow is the spongy tissue inside some of your bones, such as your hip and thigh bones. It contains immature cells, called stem cells.",Allergy and Immunology
Myositis,,"Myositis means inflammation of the muscles that you use to move your body. An injury, infection, or autoimmune disease can cause it.",Orthopedics
Nail Diseases,,"Your toenails and fingernails protect the tissues of your toes and fingers. They are made up of layers of a hardened protein called keratin, which is also in your hair and skin.",Dermatology
Nasal Cancer,"Cancer of the nasal cavity, Cancer of the paranasal sinus","Your paranasal sinuses are small hollow spaces around the nose. They are lined with cells that make mucus, which keeps your nose from drying out.",Otolaryngology
Native Hawaiian and Pacific Islander Health,,"Every racial or ethnic group has specific health concerns. Differences in the health of groups can result from: Genetics Environmental factors Access to care Cultural factors On this page, you'll find links to health issues that affect Native Hawaiians and Pacific Islanders.","Geriatrics, Pediatrics"
Nausea and Vomiting,Emesis,"What are nausea and vomiting? Nausea is when you feel sick to your stomach, as if you are going to throw up.",Gastroenterology
Neck Injuries and Disorders,,"Any part of your neck - muscles, bones, joints, tendons, ligaments, or nerves - can cause neck problems. Neck pain is very common.",Orthopedics
Neural Tube Defects,,"Neural tube defects are birth defects of the brain, spine, or spinal cord. They happen in the first month of pregnancy, often before a woman even knows that she is pregnant.",Neurology
Neuroblastoma,,What is neuroblastoma? Neuroblastoma is a type of cancer that forms in nerve cells called neuroblasts.,Neurology
Neurofibromatosis,"Recklinghausen's disease, von Recklinghausen's disease",Neurofibromatosis is a genetic disorder of the nervous system. It mainly affects how nerve cells form and grow.,Neurology
Neurologic Diseases,Nervous system diseases,"The brain, spinal cord, and nerves make up the nervous system. Together they control all the workings of the body.",Neurology
Neuromuscular Disorders,,Neuromuscular disorders affect your neuromuscular system. They can cause problems with: The nerves that control your muscles Your muscles Communication between your nerves and muscles These disorders can cause your muscles to become weak and waste away.,Orthopedics
Newborn Screening,,Your newborn infant has screening tests before leaving the hospital. There may be different tests depending on the state where you live.,Medical Genetics
Noise,,"Noise is all around you, from televisions and radios to lawn mowers and washing machines. Normally, you hear these sounds at safe levels that don't affect hearing.",Otolaryngology
Non-Drug Pain Management,,What is pain? Pain is a signal in your nervous system that something may be wrong.,Integrative Medicine
Norovirus Infections,Norwalk virus infections,"Noroviruses are a group of related viruses. Infection with these viruses causes an illness called gastroenteritis, an inflammation of the stomach and intestines.",Gastroenterology
Nose Injuries and Disorders,Nasal disorders,"Your nose is important to your health. It filters the air you breathe, removing dust, germs, and irritants.",Otolaryngology
Nuclear Scans,"Radioisotope scans, Radionuclide scans",Nuclear scans use radioactive substances to see structures and functions inside your body. They use a special camera that detects radioactivity.,Radiology
Nursing Homes,,A nursing home is a place for people who don't need to be in a hospital but can't be cared for at home. Most nursing homes have nursing aides and skilled nurses on hand 24 hours a day.,Geriatrics
Nutrition for Older Adults,,What is nutrition and why is it important for older adults? Nutrition is about eating a healthy and balanced diet so your body gets the nutrients that it needs.,Geriatrics
Obesity,,"Obesity means having too much body fat. It is different from being overweight, which means weighing too much.",Metabolic Medicine
Obesity in Children,,"Obesity means having too much body fat. It is different from being overweight, which means weighing too much.",Metabolic Medicine
Obsessive-Compulsive Disorder,OCD,What is obsessive-compulsive disorder (OCD)? Obsessive-compulsive disorder (OCD) is a mental disorder in which you have thoughts (obsessions) and rituals (compulsions) over and over.,Psychiatry
Oil Spills,,"Oil spills often happen because of accidents, when people make mistakes or equipment breaks down. Other causes include natural disasters or deliberate acts.",Medical Toxicology
Older Adult Health,,People in the U.S. are living longer than ever before. Many older adults live active and healthy lives.,Geriatrics
Older Adult Mental Health,Senior mental health,"Mental health includes our emotional, psychological, and social well-being. It affects how we think, feel, and act as we cope with life.",Psychiatry
Opioid Overdose,,"What are opioids? Opioids, sometimes called narcotics, are a type of drug.",Addiction Medicine
Opioid Use Disorder (OUD) Treatment,"Medications for opioid use disorder (MOUD), Opioid abuse and addiction treatment","What are opioids? Opioids, sometimes called narcotics, are a type of drug.",Addiction Medicine
Opioids and Opioid Use Disorder (OUD),"Opioid abuse, Opioid addiction, Opioid misuse","What are opioids? Opioids, sometimes called narcotics, are a type of drug.",Addiction Medicine
Optic Nerve Disorders,,The optic nerve is a bundle of more than 1 million nerve fibers that carry visual messages. You have one connecting the back of each eye (your retina) to your brain.,Ophthalmology
Oral Cancer,,What is oral cancer? Oral cancer is cancer of the mouth.,Dentistry
Organ Donation,,Organ donation takes healthy organs and tissues from one person for transplantation into another. Experts say that the organs from one donor can save or help as many as 50 people.,Transplant Surgery
Organ Transplantation,,You may need an organ transplant if one of your organs has failed. This can happen because of illness or injury.,Transplant Surgery
Orthodontia,Braces,"Some people have naturally straight teeth that fit together. But if you have problems with your bite or the spacing of your teeth, you may need orthodontic care.",Dentistry
Osteoarthritis,"Degenerative joint disease, OA, Osteoarthrosis","What is osteoarthritis? Osteoarthritis, sometimes called OA, is a type of arthritis that only affects the joints, usually in the hands, knees, hips, neck, and lower back.",Orthopedics
Osteogenesis Imperfecta,"Brittle bone disease, OI",Osteogenesis imperfecta (OI) is a genetic disorder in which bones fracture (break) easily. Sometimes the fractures happen for no known reason.,Orthopedics
Osteonecrosis,"Aseptic necrosis, Avascular necrosis, Ischemic necrosis","Osteonecrosis is a disease caused by reduced blood flow to bones in the joints. In people with healthy bones, new bone is always replacing old bone.",Orthopedics
Osteoporosis,,"Osteoporosis is a disease that thins and weakens the bones. Your bones become fragile and fracture (break) easily, especially the bones in the hip, spine, and wrist.",Orthopedics
Ostomy,,An ostomy is surgery to create an opening (stoma) from an area inside the body to the outside. It treats certain diseases of the digestive or urinary systems.,Gastroenterology
Ovarian Cancer,,What is ovarian cancer? Cancer is a disease in which abnormal cells in the body grow out of control and form a tumor.,Endocrinology
Ovarian Cysts,,The ovaries are part of the female reproductive system. They produce a woman's eggs and make female hormones.,Endocrinology
Ovarian Disorders,,"The ovaries are part of the female reproductive system. Women have two ovaries, one on each side of the uterus.",Gynecology
Over-the-Counter Medicines,"Non-prescription drugs, OTC medicines","Over-the-counter (OTC) medicines are drugs you can buy without a prescription. Some OTC medicines relieve aches, pains, and itches.",Pharmacology
Overactive Bladder,,"Overactive bladder is a condition in which the bladder squeezes urine out at the wrong time. You may have overactive bladder if you have two or more of these symptoms: You urinate eight or more times a day or two or more times at night You have the sudden, strong need to urinate immediately You leak urine after a sudden, strong urge to urinate You also may have incontinence, a loss of bladder control.","Nephrology, Urology"
Oxygen Therapy,,What is oxygen? Oxygen is a gas that your body needs to work properly.,Pulmonology
Ozone,,"Ozone is a gas. It can be good or bad, depending on where it is.",Medical Toxicology
Pacemakers and Implantable Defibrillators,,"An arrhythmia is any disorder of your heart rate or rhythm. It means that your heart beats too quickly, too slowly, or with an irregular pattern.","Hematology, Cardiology"
Paget's Disease of Bone,Osteitis deformans,What is Paget's disease of bone? Paget's disease of bone is a chronic bone disorder.,Orthopedics
Pain,,"Pain is a signal in your nervous system that something may be wrong. It is an unpleasant feeling, such as a prick, tingle, sting, burn, or ache.",Neurology
Pain Relievers,"Analgesics, Pain killers, Pain medicines","Pain relievers are medicines that reduce or relieve headaches, sore muscles, arthritis, or other aches and pains. There are many different pain medicines, and each one has advantages and risks.",Pharmacology
Pancreas Transplantation,,The pancreas is a gland behind your stomach and in front of your spine. It produces the juices that help break down food and the hormones that help control blood sugar levels.,Gastroenterology
Pancreatic Cancer,,The pancreas is a gland behind your stomach and in front of your spine. It produces the juices that help break down food and the hormones that help control blood sugar levels.,Gastroenterology
Pancreatic Diseases,,The pancreas is a gland behind your stomach and in front of your spine. It produces juices that help break down food and hormones that help control blood sugar levels.,Gastroenterology
Pancreatitis,,The pancreas is a large gland behind the stomach and close to the first part of the small intestine. It secretes digestive juices into the small intestine through a tube called the pancreatic duct.,Gastroenterology
Panic Disorder,,"Panic disorder is a type of anxiety disorder. It causes panic attacks, which are sudden feelings of terror when there is no real danger.",Psychiatry
Paralysis,"Hemiplegia, Palsy, Paraplegia, Quadriplegia",Paralysis is the loss of muscle function in part of your body. It happens when something goes wrong with the way messages pass between your brain and muscles.,Neurology
Parasitic Diseases,,"Parasites are living things that use other living things - like your body - for food and a place to live. You can get them from contaminated food or water, a bug bite, or sexual contact.",Infectious Disease
Parathyroid Disorders,,"Most people have four pea-sized glands, called parathyroid glands, on the thyroid gland in the neck. Though their names are similar, the thyroid and parathyroid glands are completely different.",Endocrinology
Parenting,,"If you're a parent, you get plenty of suggestions on how to raise your child. From experts to other parents, people are always ready to offer advice.",Pediatrics
Parkinson's Disease,"Paralysis agitans, Shaking palsy",Parkinson's disease (PD) is a type of movement disorder. It happens when nerve cells in the brain don't produce enough of a brain chemical called dopamine.,Neurology
Pelvic Floor Disorders,"Cystocele, Enterocele, Pelvic prolapse, Rectocele","The pelvic floor is a group of muscles and other tissues that form a sling or hammock across the pelvis. In women, it holds the uterus, bladder, bowel, and other pelvic organs in place so that they can work properly.",Gynecology
Pelvic Inflammatory Disease,PID,"Pelvic inflammatory disease (PID) is an infection and inflammation of the uterus, ovaries, and other female reproductive organs. It causes scarring in these organs.",Gynecology
Pelvic Pain,,"Pelvic pain occurs mostly in the lower abdomen area. The pain might be steady, or it might come and go.",Gynecology
Pemphigus,,"Pemphigus is an autoimmune disorder. If you have it, your immune system attacks healthy cells in your skin and mouth, causing blisters and sores.",Allergy and Immunology
Penis Disorders,Penile disorders,"Problems with the penis can cause pain and affect a man's sexual function and fertility. Penis disorders include: Erectile dysfunction - inability to get or keep an erection Priapism - a painful erection that does not go away Peyronie's disease - bending of the penis during an erection due to a hard lump called a plaque Balanitis - inflammation of the skin covering the head of the penis, most often in men and boys who have not been circumcised Penile cancer - a rare form of cancer, highly curable when caught early","Urology, Andrology"
Peptic Ulcer,"Duodenal ulcer, Gastric ulcer, Stomach ulcer, Ulcer","A peptic ulcer is a sore in the lining of your stomach or your duodenum, the first part of your small intestine. A burning stomach pain is the most common symptom.",Gastroenterology
Pericardial Disorders,,"The pericardium is a membrane, or sac, that surrounds your heart. It holds the heart in place and helps it work properly.","Hematology, Cardiology"
Period Pain,"Dysmenorrhea, Menstrual cramps, Menstrual pain","What are painful periods? Menstruation, or period, is normal vaginal bleeding that happens as part of a woman's monthly cycle.",Gynecology
Peripheral Arterial Disease,PAD,Peripheral arterial disease (PAD) happens when there is a narrowing of the blood vessels outside of your heart. The cause of PAD is atherosclerosis.,"Hematology, Cardiology"
Peripheral Nerve Disorders,"Neuritis, Peripheral neuritis, Peripheral neuropathy",What are peripheral nerves? Nerves are like wires that carry messages back and forth between your brain and your body.,Neurology
Peritoneal Disorders,,"Your peritoneum is the tissue that lines your abdominal wall and covers most of the organs in your abdomen. A liquid, peritoneal fluid, lubricates the surface of this tissue.",Gastroenterology
Personality Disorders,,"What is personality? Your personality is your own way of thinking, feeling, behaving, and relating to others.",Psychiatry
Pesticides,"Fungicides, Herbicides, Rodenticides","Pests live where they are not wanted or cause harm to crops, people, or animals. Pesticides can help get rid of them.",Medical Toxicology
Phenylketonuria,PKU,Phenylketonuria (PKU) is a type of amino acid metabolism disorder. It is inherited.,Neurology
Pheochromocytoma,,"Pheochromocytoma is a rare tumor that usually starts in the cells of one of your adrenal glands. Although they are usually benign, pheochromocytomas often cause the adrenal gland to make too many hormones.",Endocrinology
Phobias,,"A phobia is a type of anxiety disorder. It is a strong, irrational fear of something that poses little or no real danger.",Psychiatry
Piercing and Tattoos,"Body art, Body piercing",Piercings and tattoos are body decorations that go back to ancient times. Body piercing involves making a hole in the skin so that you can insert jewelry.,Dentistry
Pink Eye,Conjunctivitis,Conjunctivitis is the medical name for pink eye. It involves inflammation of the outer layer of the eye and inside of the eyelid.,Ophthalmology
Pinworms,"Enterobiasis, Oxyuriasis, Seatworm infection, Threadworm infection",Pinworms are small parasites that can live in the colon and rectum. You get them when you swallow their eggs.,Infectious Disease
Pituitary Disorders,,Your pituitary gland is a pea-sized gland at the base of your brain. The pituitary is the &quot;master control gland&quot; - it makes hormones that affect growth and the functions of other glands in the body.,Neurology
Pituitary Tumors,,"Your pituitary gland is a pea-sized gland at the base of your brain. The pituitary is the ""master control gland"" - it makes hormones that affect growth and the functions of other glands in the body.",Endocrinology
Plague,"Bubonic plague, Pneumonic plague",Plague is an infection caused by the bacterium Yersinia pestis. The bacteria are found mainly in rats and in the fleas that feed on them.,Infectious Disease
Plastic and Cosmetic Surgery,Cosmetic surgery,"Surgeons can reshape the appearance of body parts through cosmetic surgery. Some of the most common body parts people want to improve through surgery include: Breasts: Increase or reduce the size of breasts or reshape sagging breasts Ears: Reduce the size of large ears or set protruding ears back closer to the head Eyes: Correct drooping upper eyelids or remove puffy bags below the eyes Face: Remove facial wrinkles, creases or acne scars Hair: Fill in balding areas with one's own hair Nose: Change the shape of the nose Tummy: Flatten the abdomen","Orthopedic Surgery, Physical Medicine and Rehabilitation"
Platelet Disorders,Thrombocyte disorders,"Platelets, also known as thrombocytes, are blood cells. They form in your bone marrow, a sponge-like tissue in your bones.","Hematology, Cardiology"
Pleural Disorders,,"Your pleura is a large, thin sheet of tissue that wraps around the outside of your lungs and lines the inside of your chest cavity. Between the layers of the pleura is a very thin space.",Pulmonology
Pneumococcal Infections,Streptococcus pneumoniae infections,Pneumococci are a type of streptococcus bacteria. The bacteria spread through contact with people who are ill or by healthy people who carry the bacteria in the back of their nose.,Infectious Disease
Pneumocystis Infections,,Pneumocystis jirovecii is a tiny fungus that lives in the lungs of many people. Most people's immune systems keep the fungus under control.,Allergy and Immunology
Pneumonia,Bronchopneumonia,What is pneumonia? Pneumonia is an infection in one or both of the lungs.,Pulmonology
"Poison Ivy, Oak, and Sumac","Ivy poison, Rhus dermatitis, Toxicodendron dermatitis","If you spend time outdoors, chances are you have been bothered by poison ivy, poison oak or poison sumac at some point. Most people are sensitive to the plants' oily sap.",Dermatology
Poisoning,,"A poison is any substance that is harmful to your body. You might swallow it, inhale it, inject it, or absorb it through your skin.",Medical Toxicology
Polio and Post-Polio Syndrome,"Infantile paralysis, PPS, Poliomyelitis","What is polio? Polio, or poliomyelitis, is a disease that spreads from person to person.",Orthopedics
Polycystic Ovary Syndrome,"PCOS, Stein-Leventhal Syndrome",Polycystic ovary syndrome (PCOS) happens when a woman's ovaries or adrenal glands produce more male hormones than normal. PCOS causes cysts (fluid-filled sacs) to grow on the ovaries.,Endocrinology
Polymyalgia Rheumatica,,"Polymyalgia rheumatica is a disorder that causes muscle pain and stiffness in your neck, shoulders, and hips. It is most common in women and almost always occurs in people over 50.",Orthopedics
Porphyria,,"Porphyrias are a group of genetic disorders caused by problems with how your body makes a substance called heme. Heme is found throughout the body, especially in your blood and bone marrow, where it carries oxygen.",Gastroenterology
Post-COVID Conditions (Long COVID),"Chronic COVID, Long-haul COVID, Long-term effects of COVID",What are post-COVID conditions (long COVID)? COVID-19 (coronavirus disease 2019) is an illness caused by a virus.,Infectious Disease
Post-Traumatic Stress Disorder,PTSD,What is post-traumatic stress disorder (PTSD)? Post-traumatic stress disorder (PTSD) is a mental health disorder that some people develop after they experience or see a traumatic event.,Psychiatry
Postpartum Care,Post-pregnancy health,Taking home a new baby is one of the happiest times in a woman's life. But it also presents both physical and emotional challenges.,Obstetrics and Gynecology
Postpartum Depression,Post-pregnancy depression,"Many women have the baby blues after childbirth. If you have the baby blues, you may have mood swings, feel sad, anxious or overwhelmed, have crying spells, lose your appetite, or have trouble sleeping.",Psychiatry
Prader-Willi Syndrome,PWS,"Prader-Willi Syndrome (PWS) is a rare genetic disorder. It causes poor muscle tone, low levels of sex hormones and a constant feeling of hunger.",Medical Genetics
Preconception Care,,"If you are trying to have a baby or are just thinking about it, it is not too early to prepare for a safe pregnancy and a healthy baby. You should see your health care provider for preconception care.",Obstetrics and Gynecology
Prediabetes,,"What is prediabetes? Prediabetes means that your blood glucose, or blood sugar, levels are higher than normal but not high enough to be called diabetes.",Endocrinology
Pregnancy,,"You're going to have a baby! It's an exciting time, but it can also feel a bit overwhelming.",Gynecology
Pregnancy and Medicines,,Not all medicines are safe to take when you are pregnant. Some medicines can harm your baby.,Medical Genetics
Pregnancy and Nutrition,,"What is nutrition, and why is it important during pregnancy? Nutrition is about eating a healthy and balanced diet so your body gets the nutrients that it needs.",Obstetrics and Gynecology
Pregnancy and Opioids,,You may need to take medicines while you are pregnant. But not all medicines are safe during pregnancy.,Gynecology
Pregnancy and Substance Use,,"During pregnancy, there are many things you can do to keep yourself and your baby healthy. They include getting regular prenatal care, eating healthy, and staying active.",Gynecology
Premature Babies,Preemies,"Almost 1 of every 10 infants born in the United States are premature, or preemies. A premature birth is when a baby is born before 37 completed weeks of pregnancy.",Obstetrics and Gynecology
Premenstrual Syndrome,PMS,"What is premenstrual syndrome (PMS)? Premenstrual syndrome, or PMS, is a group of physical and emotional symptoms that start one to two weeks before your period.",Gynecology
Prenatal Care,,Prenatal care is the health care you get while you are pregnant. It includes your checkups and prenatal testing.,Gynecology
Prenatal Testing,,Prenatal testing provides information about your baby's health before he or she is born. Some routine tests during pregnancy also check on your health.,Gynecology
Prescription Drug Misuse,Prescription Drug Abuse,"If you take a medicine in a way that is different from what the doctor prescribed, it is called prescription drug misuse. It could be: Taking a medicine that was prescribed for someone else Taking a larger dose than you are supposed to Taking the medicine in a different way than you are supposed to.",Addiction Medicine
Pressure Sores,"Bed sores, Decubitus ulcers, Pressure ulcers","Pressure sores are areas of damaged skin caused by staying in one position for too long. They commonly form where your bones are close to your skin, such as your ankles, back, elbows, heels and hips.",Dermatology
Preterm Labor,"Early Labor, Premature Birth, Premature Labor, Preterm Birth",Preterm labor is labor that starts before 37 completed weeks of pregnancy. It can lead to premature birth.,Gynecology
Primary Ovarian Insufficiency,"Ovarian insufficiency, POF, POI, Premature ovarian failure","What is primary ovarian insufficiency (POI)? Primary ovarian insufficiency (POI), also known as premature ovarian failure, happens when a woman's ovaries stop working normally before she is 40.",Endocrinology
Progressive Supranuclear Palsy,"PSP, Richardson-Steele-Olszewski syndrome, Steele-Richardson-Olszewski syndrome",What is progressive supranuclear palsy (PSP)? Progressive supranuclear palsy (PSP) is a rare brain disease.,Neurology
Prostate Cancer,,What is prostate cancer? Cancer is a disease in which cells in the body grow out of control.,"Urology, Andrology"
Prostate Cancer Screening,,What is cancer screening? Cancer is a disease when the cells of the body grow out of control.,"Urology, Andrology"
Prostate Diseases,,What is the prostate? The prostate is a gland in the male reproductive system.,"Urology, Andrology"
Psoriasis,,"Psoriasis is a skin disease that causes itchy or sore patches of thick, red skin with silvery scales. You usually get the patches on your elbows, knees, scalp, back, face, palms and feet, but they can show up on other parts of your body.",Dermatology
Psoriatic Arthritis,,"Psoriasis is a skin disease that causes itchy or sore patches of thick, red skin with silvery scales. You usually get them on your elbows, knees, scalp, back, face, palms and feet, but they can show up on other parts of your body.",Orthopedics
Psychotic Disorders,Psychoses,Psychotic disorders are severe mental disorders that cause abnormal thinking and perceptions. People with psychoses lose touch with reality.,Psychiatry
Puberty,,Puberty is the time in life when a boy or girl becomes sexually mature. It is a process that usually happens between ages 10 and 14 for girls and ages 12 and 16 for boys.,Pediatrics
Pubic Lice,Crabs,What are pubic lice? Pubic lice (also called crabs) are tiny insects which usually live in the pubic or genital area of humans.,Dermatology
Pulmonary Embolism,Blood clots in the lung,What is a pulmonary embolism (PE)? A pulmonary embolism (PE) is a sudden blockage in a lung artery.,Pulmonology
Pulmonary Fibrosis,"IPF, Idiopathic pulmonary fibrosis",Pulmonary fibrosis is a condition in which the tissue deep in your lungs becomes scarred over time. This tissue gets thick and stiff.,Pulmonology
Pulmonary Hypertension,Pulmonary arterial hypertension,Pulmonary hypertension (PH) is high blood pressure in the arteries to your lungs. It is a serious condition.,"Hematology, Cardiology"
Pulmonary Rehabilitation,,"What is pulmonary rehabilitation? Pulmonary rehabilitation, also known as pulmonary rehab or PR, is a program for people who have chronic (ongoing) breathing problems.",Pulmonology
Quitting Smoking,Smoking cessation,Tobacco use is the most common preventable cause of death. About half of the people who don't quit smoking will die of smoking-related problems.,Addiction Medicine
Rabies,Hydrophobia,"Rabies is a deadly animal disease caused by a virus. It can happen in wild animals, including raccoons, skunks, bats and foxes, or in dogs, cats or farm animals.",Infectious Disease
Radiation Exposure,,What is radiation? Radiation is energy.,Trauma Surgery
Radiation Therapy,"Brachytherapy, Radiotherapy",Radiation therapy is a cancer treatment. It uses high doses of radiation to kill cancer cells and stop them from spreading.,Oncology
Radon,,You can't see radon. And you can't smell it or taste it.,Medical Toxicology
Rare Diseases,,"A rare disease is one that affects fewer than 200,000 people in the United States. There are nearly 7,000 rare diseases.",Medical Genetics
Rashes,"Dermatitis, Skin rash","A rash is an area of irritated or swollen skin. Many rashes are itchy, red, painful, and irritated.",Dermatology
Raynaud's Disease,Raynaud's phenomenon,"Raynaud's disease is a rare disorder of the blood vessels, usually in the fingers and toes. It causes the blood vessels to narrow when you are cold or feeling stressed.","Hematology, Cardiology"
Rectal Disorders,,The rectum is the lower part of your large intestine where your body stores stool. Problems with rectum are common.,Gastroenterology
Reflux in Children,"GER in Children, GERD in Children",What are reflux (GER) and GERD? The esophagus is the tube that carries food from your mouth to your stomach.,Gastroenterology
Reflux in Infants,"GER in Infants, GERD in infants, Pediatric Gastroesophageal Reflux",What are reflux (GER) and GERD? The esophagus is the tube that carries food from your mouth to your stomach.,Gastroenterology
Refractive Errors,"Farsightedness, Hyperopia, Myopia, Nearsightedness",The cornea and lens of your eye helps you focus. Refractive errors are vision problems that happen when the shape of the eye keeps you from focusing well.,Ophthalmology
Rehabilitation,Rehab,"What is rehabilitation? Rehabilitation is care that can help you get back, keep, or improve abilities that you need for daily life.","Orthopedic Surgery, Physical Medicine and Rehabilitation"
Reproductive Hazards,,What are reproductive hazards? Reproductive hazards are substances that affect the reproductive health of men or women.,Gynecology
Respiratory Failure,,What is respiratory failure? Respiratory failure is a condition in which your blood doesn't have enough oxygen or has too much carbon dioxide.,Pulmonology
Respiratory Syncytial Virus Infections,RSV,"What is respiratory syncytial virus (RSV)? Respiratory syncytial virus, or RSV, is a common respiratory virus.",Pulmonology
Restless Legs,"RLS, Willis-Ekbom Disease",Restless legs syndrome (RLS) causes a powerful urge to move your legs. Your legs become uncomfortable when you are lying down or sitting.,Neurology
Retinal Detachment,,"The retina is a layer of tissue in the back of your eye that senses light and sends images to your brain. It provides the sharp, central vision needed for reading, driving, and seeing fine detail.",Ophthalmology
Retinal Disorders,,The retina is a layer of tissue in the back of your eye that senses light and sends images to your brain. In the center of this nerve tissue is the macula.,Ophthalmology
Rett Syndrome,,"Rett syndrome is a rare genetic disease that causes developmental and nervous system problems, mostly in girls. It's related to autism spectrum disorder.",Neurology
Reye Syndrome,,"Reye syndrome is a rare illness that can affect the blood, liver, and brain of someone who has recently had a viral infection. It always follows another illness.",Neurology
Rh Incompatibility,,"There are four major blood types: A, B, O, and AB. The types are based on substances on the surface of the blood cells.","Hematology, Cardiology"
Rheumatoid Arthritis,RA,"Rheumatoid arthritis (RA) is a form of arthritis that causes pain, swelling, stiffness and loss of function in your joints. It can affect any joint but is common in the wrist and fingers.",Orthopedics
Rickets,Rachitis,"Rickets causes soft, weak bones in children. It usually occurs when they do not get enough vitamin D, which helps growing bones absorb the minerals calcium and phosphorous.",Orthopedics
Rosacea,Acne rosacea,Rosacea is a long-term disease that affects your skin and sometimes your eyes. It causes redness and pimples.,Dermatology
Rotator Cuff Injuries,,What is a rotator cuff? Your rotator cuff is part of your shoulder joint.,Orthopedics
Rotavirus Infections,,"Rotavirus is a virus that causes gastroenteritis. Symptoms include severe diarrhea, vomiting, fever, and dehydration.",Infectious Disease
